winner,looser
Команда Y,Команда Q
Команда L,Команда T
Команда M,Команда K
Команда P,Команда S
Команда R,Команда F
Команда T,Команда N
Команда N,Команда G
Команда D,Команда O
Команда Q,Команда M
Команда X,Команда T
Команда X,Команда B
Команда A,Команда M
Команда X,Команда A
Команда B,Команда Y
Команда E,Команда O
Команда A,Команда C
Команда M,Команда E
Команда N,Команда O
Команда Y,Команда J
Команда A,Команда H
Команда J,Команда G
Команда I,Команда W
Команда I,Команда U
Команда E,Команда I
Команда P,Команда N
Команда Z,Команда G
Команда T,Команда J
Команда Y,Команда K
Команда K,Команда I
Команда D,Команда N
Команда R,Команда W
Команда L,Команда I
Команда J,Команда T
Команда G,Команда V
Команда M,Команда N
Команда I,Команда H
Команда A,Команда V
Команда E,Команда P
Команда D,Команда V
Команда T,Команда Z
Команда Q,Команда K
Команда N,Команда U
Команда A,Команда Q
Команда O,Команда D
Команда R,Команда O
Команда Z,Команда G
Команда O,Команда C
Команда I,Команда V
Команда X,Команда F
Команда O,Команда K
Команда A,Команда P
Команда M,Команда Z
Команда S,Команда R
Команда J,Команда X
Команда L,Команда N
Команда C,Команда D
Команда C,Команда M
Команда Z,Команда Q
Команда A,Команда G
Команда H,Команда Q
Команда I,Команда P
Команда Z,Команда B
Команда I,Команда G
Команда E,Команда P
Команда A,Команда L
Команда G,Команда F
Команда C,Команда U
Команда M,Команда H
Команда Z,Команда W
Команда L,Команда I
Команда Z,Команда H
Команда U,Команда B
Команда B,Команда U
Команда R,Команда J
Команда M,Команда I
Команда Q,Команда N
Команда N,Команда T
Команда R,Команда X
Команда P,Команда Q
Команда I,Команда L
Команда P,Команда T
Команда T,Команда O
Команда F,Команда S
Команда B,Команда O
Команда A,Команда V
Команда S,Команда W
Команда Q,Команда U
Команда L,Команда A
Команда Y,Команда W
Команда D,Команда G
Команда E,Команда V
Команда Z,Команда L
Команда D,Команда Z
Команда D,Команда L
Команда D,Команда T
Команда J,Команда F
Команда G,Команда H
Команда J,Команда A
Команда N,Команда K
Команда Q,Команда A
Команда M,Команда Z
Команда B,Команда U
Команда N,Команда C
Команда T,Команда R
Команда B,Команда U
Команда U,Команда P
Команда G,Команда X
Команда C,Команда B
