winner,looser
Команда A,Команда B
Команда C,Команда D
Команда E,Команда F
Команда G,Команда H
Команда I,Команда J
Команда K,Команда L
Команда M,Команда N
Команда O,Команда P
Команда Q,Команда R
Команда S,Команда T
Команда U,Команда V
Команда W,Команда X
Команда Y,Команда Z
Команда A,Команда C
Команда D,Команда F
Команда H,Команда J
Команда L,Команда N
Команда P,Команда R
Команда T,Команда V
Команда X,Команда Z
Команда B,Команда D
Команда E,Команда H
Команда G,Команда K
Команда M,Команда Q
Команда S,Команда W
