winner,looser
Команда A,Команда B
Команда A,Команда C
Команда A,Команда D
Команда A,Команда E
Команда E,Команда A
Команда A,Команда F
Команда A,Команда G
Команда A,Команда H
Команда I,Команда A
Команда J,Команда A
Команда K,Команда A
Команда L,Команда A
Команда A,Команда M
Команда N,Команда A
Команда N,Команда A
Команда A,Команда O
Команда O,Команда A
Команда A,Команда P
Команда A,Команда Q
Команда A,Команда Q
Команда A,Команда R
Команда R,Команда A
Команда S,Команда A
Команда T,Команда A
Команда A,Команда U
Команда V,Команда A
Команда A,Команда W
Команда A,Команда X
Команда A,Команда X
Команда Y,Команда A
Команда Z,Команда A
Команда C,Команда B
Команда B,Команда D
Команда B,Команда E
Команда F,Команда B
Команда B,Команда G
Команда H,Команда B
Команда I,Команда B
Команда J,Команда B
Команда B,Команда K
Команда L,Команда B
Команда B,Команда M
Команда B,Команда N
Команда O,Команда B
Команда P,Команда B
Команда Q,Команда B
Команда R,Команда B
Команда B,Команда R
Команда B,Команда S
Команда T,Команда B
Команда B,Команда U
Команда B,Команда V
Команда B,Команда V
Команда B,Команда W
Команда B,Команда X
Команда Y,Команда B
Команда B,Команда Y
Команда Z,Команда B
Команда D,Команда C
Команда D,Команда C
Команда E,Команда C
Команда C,Команда F
Команда C,Команда G
Команда G,Команда C
Команда H,Команда C
Команда C,Команда I
Команда J,Команда C
Команда K,Команда C
Команда C,Команда L
Команда L,Команда C
Команда C,Команда M
Команда N,Команда C
Команда C,Команда O
Команда C,Команда P
Команда Q,Команда C
Команда C,Команда R
Команда C,Команда R
Команда S,Команда C
Команда C,Команда T
Команда C,Команда U
Команда V,Команда C
Команда W,Команда C
Команда C,Команда X
Команда C,Команда Y
Команда Z,Команда C
Команда Z,Команда C
Команда D,Команда E
Команда D,Команда F
Команда D,Команда G
Команда D,Команда H
Команда D,Команда I
Команда J,Команда D
Команда D,Команда K
Команда D,Команда L
Команда D,Команда L
Команда M,Команда D
Команда D,Команда N
Команда N,Команда D
Команда O,Команда D
Команда D,Команда P
Команда D,Команда Q
Команда R,Команда D
Команда S,Команда D
Команда T,Команда D
Команда U,Команда D
Команда V,Команда D
Команда D,Команда W
Команда D,Команда X
Команда D,Команда Y
Команда D,Команда Z
Команда F,Команда E
Команда E,Команда G
Команда E,Команда H
Команда E,Команда I
Команда E,Команда J
Команда E,Команда K
Команда E,Команда L
Команда E,Команда M
Команда E,Команда M
Команда E,Команда N
Команда O,Команда E
Команда E,Команда P
Команда E,Команда Q
Команда R,Команда E
Команда S,Команда E
Команда E,Команда T
Команда E,Команда U
Команда V,Команда E
Команда E,Команда V
Команда W,Команда E
Команда W,Команда E
Команда E,Команда X
Команда E,Команда X
Команда E,Команда Y
Команда Z,Команда E
Команда Z,Команда E
Команда G,Команда F
Команда H,Команда F
Команда I,Команда F
Команда F,Команда J
Команда F,Команда K
Команда F,Команда K
Команда L,Команда F
Команда M,Команда F
Команда F,Команда N
Команда F,Команда O
Команда F,Команда P
Команда F,Команда Q
Команда Q,Команда F
Команда F,Команда R
Команда S,Команда F
Команда F,Команда T
Команда U,Команда F
Команда V,Команда F
Команда F,Команда W
Команда F,Команда X
Команда Y,Команда F
Команда F,Команда Z
Команда G,Команда H
Команда G,Команда H
Команда G,Команда I
Команда G,Команда J
Команда G,Команда K
Команда L,Команда G
Команда M,Команда G
Команда M,Команда G
Команда G,Команда N
Команда O,Команда G
Команда G,Команда O
Команда G,Команда P
Команда Q,Команда G
Команда G,Команда R
Команда S,Команда G
Команда T,Команда G
Команда U,Команда G
Команда V,Команда G
Команда W,Команда G
Команда W,Команда G
Команда G,Команда X
Команда G,Команда Y
Команда Z,Команда G
Команда H,Команда I
Команда H,Команда J
Команда H,Команда K
Команда L,Команда H
Команда H,Команда M
Команда H,Команда N
Команда O,Команда H
Команда H,Команда P
Команда H,Команда Q
Команда H,Команда R
Команда H,Команда S
Команда H,Команда T
Команда H,Команда U
Команда H,Команда V
Команда W,Команда H
Команда H,Команда X
Команда H,Команда Y
Команда H,Команда Z
Команда I,Команда J
Команда J,Команда I
Команда K,Команда I
Команда L,Команда I
Команда I,Команда L
Команда M,Команда I
Команда I,Команда N
Команда N,Команда I
Команда O,Команда I
Команда I,Команда P
Команда Q,Команда I
Команда R,Команда I
Команда S,Команда I
Команда I,Команда T
Команда I,Команда U
Команда U,Команда I
Команда I,Команда V
Команда I,Команда W
Команда I,Команда W
Команда X,Команда I
Команда I,Команда Y
Команда Z,Команда I
Команда J,Команда K
Команда J,Команда L
Команда M,Команда J
Команда N,Команда J
Команда J,Команда O
Команда O,Команда J
Команда P,Команда J
Команда J,Команда P
Команда Q,Команда J
Команда J,Команда R
Команда J,Команда S
Команда T,Команда J
Команда J,Команда U
Команда J,Команда V
Команда J,Команда W
Команда X,Команда J
Команда Y,Команда J
Команда J,Команда Z
Команда L,Команда K
Команда K,Команда M
Команда N,Команда K
Команда O,Команда K
Команда P,Команда K
Команда K,Команда Q
Команда K,Команда R
Команда S,Команда K
Команда T,Команда K
Команда K,Команда U
Команда K,Команда U
Команда V,Команда K
Команда K,Команда W
Команда W,Команда K
Команда K,Команда X
Команда Y,Команда K
Команда Z,Команда K
Команда L,Команда M
Команда L,Команда N
Команда L,Команда O
Команда L,Команда P
Команда L,Команда Q
Команда R,Команда L
Команда L,Команда S
Команда T,Команда L
Команда L,Команда U
Команда L,Команда V
Команда V,Команда L
Команда W,Команда L
Команда L,Команда X
Команда Y,Команда L
Команда L,Команда Z
Команда M,Команда N
Команда M,Команда O
Команда O,Команда M
Команда P,Команда M
Команда M,Команда Q
Команда M,Команда R
Команда M,Команда S
Команда M,Команда T
Команда U,Команда M
Команда M,Команда V
Команда M,Команда W
Команда X,Команда M
Команда Y,Команда M
Команда M,Команда Z
Команда O,Команда N
Команда N,Команда P
Команда N,Команда Q
Команда R,Команда N
Команда N,Команда S
Команда T,Команда N
Команда N,Команда U
Команда N,Команда V
Команда W,Команда N
Команда X,Команда N
Команда Y,Команда N
Команда N,Команда Z
Команда N,Команда Z
Команда O,Команда P
Команда O,Команда Q
Команда R,Команда O
Команда S,Команда O
Команда T,Команда O
Команда O,Команда U
Команда V,Команда O
Команда W,Команда O
Команда X,Команда O
Команда Y,Команда O
Команда O,Команда Z
Команда P,Команда Q
Команда R,Команда P
Команда P,Команда S
Команда T,Команда P
Команда P,Команда U
Команда P,Команда U
Команда V,Команда P
Команда W,Команда P
Команда X,Команда P
Команда Y,Команда P
Команда P,Команда Z
Команда Z,Команда P
Команда Q,Команда R
Команда S,Команда Q
Команда Q,Команда T
Команда T,Команда Q
Команда Q,Команда U
Команда Q,Команда V
Команда W,Команда Q
Команда X,Команда Q
Команда Q,Команда Y
Команда Y,Команда Q
Команда Z,Команда Q
Команда R,Команда S
Команда T,Команда R
Команда U,Команда R
Команда V,Команда R
Команда W,Команда R
Команда X,Команда R
Команда Y,Команда R
Команда R,Команда Y
Команда R,Команда Z
Команда T,Команда S
Команда U,Команда S
Команда S,Команда V
Команда W,Команда S
Команда X,Команда S
Команда S,Команда X
Команда Y,Команда S
Команда Y,Команда S
Команда S,Команда Z
Команда U,Команда T
Команда V,Команда T
Команда W,Команда T
Команда X,Команда T
Команда Y,Команда T
Команда T,Команда Y
Команда Z,Команда T
Команда T,Команда Z
Команда U,Команда V
Команда W,Команда U
Команда X,Команда U
Команда U,Команда Y
Команда U,Команда Z
Команда W,Команда V
Команда V,Команда X
Команда V,Команда X
Команда V,Команда Y
Команда V,Команда Z
Команда W,Команда X
Команда W,Команда Y
Команда Z,Команда W
Команда W,Команда Z
Команда Y,Команда X
Команда Z,Команда X
Команда Y,Команда Z
